train_circ_mse_rad_ch,test_circ_mse_rad_ch,train_circ_mse_deg_ch,test_circ_mse_deg_ch,fold,perm,train_circ_mse_rad_sac,train_circ_mse_deg_sac,test_circ_mse_rad_sac,test_circ_mse_deg_sac
3.273785630093852,3.2838543938551368,10747.2042550493,10780.258056661607,1,20,3.0665869713636025,10067.011182455717,3.1584856025621835,10368.696592511806
3.273741010932875,3.290379971185595,10747.057778984308,10801.68026335953,2,20,3.077933314069627,10104.259028340464,3.321225380547936,10902.939769082934
3.281672318867011,3.283813159091682,10773.094727034388,10780.1226909183,3,20,3.2043080574998286,10519.122838554234,3.1422925901107863,10315.538068410538
3.274327466234556,3.2943545134523173,10748.98299817266,10814.72791595112,4,20,3.1085619430069076,10204.806885907921,3.3105374370577256,10867.853320324708
3.271952275281729,3.275913052971967,10741.185706230233,10754.188172382734,0,21,3.0642597010472405,10059.371204682971,3.2119019867524234,10544.052237726191
3.2700246021795314,3.279834147880716,10734.857528729593,10767.06036764817,1,21,3.0945821745396964,10158.914013212065,3.071765697391945,10084.011937146532
3.276417671971684,3.2847711953422474,10755.844738839338,10783.267738405197,2,21,3.1164060293699,10230.557502430393,3.1942893111384763,10486.23323438003
3.2742930437240543,3.29134012056319,10748.869995736606,10804.832247833257,3,21,3.065904984746051,10064.772352456997,3.300144689856657,10833.73594381897
3.275861487495537,3.2928574797461514,10754.018892909266,10809.813444194335,4,21,3.0948206515994343,10159.696887218108,3.28955102679816,10798.958999460652
3.2779265448908816,3.3006380129147517,10760.798076439845,10835.35542788669,0,22,3.10309996491973,10186.876269559712,3.360846833505302,11033.009326448067
3.274133504592164,3.289407951390414,10748.346259661366,10798.48931060357,1,22,3.0601951638709064,10046.028116230642,3.363506178864462,11041.739442279995
3.271410844571558,3.2888614037912123,10739.408294056791,10796.69510067433,2,22,3.078451558688488,10105.96032506612,3.2765073522114876,10756.139141700036
3.273574664568388,3.2784671042355886,10746.511696082667,10762.572628089207,3,22,3.0507232369372512,10014.933614345991,3.1974182767124826,10496.505022435344
3.2725498674317977,3.2866174005525255,10743.147485535199,10789.328472592924,4,22,3.088776052848301,10139.853640054613,3.2949655341946644,10816.733778724083
3.274625441107309,3.287064344113089,10749.961191977081,10790.79570175164,0,23,3.110726625552409,10211.913119514054,3.2695843871495036,10733.412388033645
3.272992786326929,3.282722034353177,10744.60150249667,10776.540739698079,1,23,3.1006623059718645,10178.873907286496,3.2000948658770154,10505.291746341047
3.2726770569791532,3.281380724287591,10743.56502418891,10772.137478497434,2,23,3.1023992879951776,10184.576082902484,3.1456444089489155,10326.541440576439
3.2749031116737344,3.295002457761373,10750.87273067575,10816.85499164334,3,23,3.0930424430874934,10153.859373023462,3.332161998531387,10938.842568046664
3.276582630633354,3.2894135612325015,10756.386266181364,10798.507726628804,4,23,3.1285093803883606,10270.290460010217,3.329500688641585,10930.10600304107
3.2756164866032997,3.2784150320932093,10753.214602424472,10762.401685329543,0,24,3.1450511744493626,10324.593966594259,3.2641142047342315,10715.454838465068
3.271011257080597,3.288079315094637,10738.09652570408,10794.12765493494,1,24,3.0816401582641486,10116.427880000743,3.204484762915191,10519.702928213868
3.2757633157324637,3.2889541086060654,10753.696614022052,10796.999432629209,2,24,3.115672380349908,10228.149074768882,3.386235438349455,11116.355199648393
3.2724861204137703,3.291388161331103,10742.938216419623,10804.989956371222,3,24,3.083003210607069,10120.902516887481,3.197968169851826,10498.31021512501
3.2785123548203674,3.303550415081771,10762.721176996256,10844.916280214371,4,24,3.1294313719319935,10273.317179704312,3.4585504329516503,11353.751323129547
3.276483311862835,3.2979862507881426,10756.06022189082,10826.650206338736,0,25,3.1187285806145013,10238.1819884044,3.365751691457498,11049.111025279442
3.275473429711554,3.294694053377982,10752.744974351837,10815.842559775176,1,25,3.0795388563471984,10109.529712724488,3.2465340287628597,10657.742525151927
3.2772748047168627,3.308088823784104,10758.658539658016,10859.814997121339,2,25,3.111310837625006,10213.830974615728,3.4745470613559597,11406.265156433989
3.274688647701799,3.292845238420466,10750.168686986834,10809.77325829264,3,25,3.0765430537544716,10099.695072949704,3.307244126585457,10857.042019793782
3.276812308752636,3.2811070934968254,10757.140254969794,10771.239201599956,4,25,3.14660398484495,10329.691542421258,3.172704633916039,10415.374918931258
3.27793908300712,3.2843600711648313,10760.839236647449,10781.918097344931,0,26,3.1277804658228,10267.897574645778,3.2196310525043703,10569.425263856343
3.274465887763468,3.2981166797025603,10749.437409246751,10827.078379207214,1,26,3.073130546047985,10088.492470981382,3.3378594353623106,10957.546149854008
3.2740442097192757,3.284036660693848,10748.053121885618,10780.856403397127,2,26,3.1132708816367662,10220.265419543837,3.2377111073217075,10628.778582619258
